year,name,party,climate,climate_text,climate_sentiment
1790,George Washington,none,0,[],NA
1791,George Washington,none,0,[],NA
1792,George Washington,none,0,[],NA
1793,George Washington,none,0,[],NA
1794,George Washington,none,0,[],NA
1795,George Washington,none,0,[],NA
1796,George Washington,none,0,[],NA
1797,John Adams,Federalist,0,[],NA
1798,John Adams,Federalist,0,[],NA
1799,John Adams,Federalist,0,[],NA
1800,John Adams,Federalist,0,[],NA
1801,Thomas Jefferson,Democratic-Republican,0,[],NA
1802,Thomas Jefferson,Democratic-Republican,0,[],NA
1803,Thomas Jefferson,Democratic-Republican,1,"['Whilst the property and sovereignty of the Mississippi and its waters secure an independent outlet for the produce of the Western States and an uncontrolled navigation through their whole course, free from collision with other powers and the dangers to our peace from that source, the fertility of the country, its climate and extent, promise in due season important aids to our Treasury, an ample provision for our posterity, and a wide spread for the blessings of freedom and equal laws.']",Neutral
1804,Thomas Jefferson,Democratic-Republican,0,[],NA
1805,Thomas Jefferson,Democratic-Republican,0,[],NA
1806,Thomas Jefferson,Democratic-Republican,0,[],NA
1807,Thomas Jefferson,Democratic-Republican,0,[],NA
1808,Thomas Jefferson,Democratic-Republican,1,"['Husbandry and household manufacture are advancing among them more rapidly with the Southern than Northern tribes, from circumstances of soil and climate, and one of the two great divisions of the Cherokee Nation have now under consideration to solicit the citizenship of the United States, and to be identified with us in laws and government in such progressive manner as we shall think best.']",Neutral
1809,James Madison,Democratic-Republican,0,[],NA
1810,James Madison,Democratic-Republican,0,[],NA
1811,James Madison,Democratic-Republican,0,[],NA
1812,James Madison,Democratic-Republican,0,[],NA
1813,James Madison,Democratic-Republican,0,[],NA
1814,James Madison,Democratic-Republican,0,[],NA
1815,James Madison,Democratic-Republican,0,[],NA
1816,James Madison,Democratic-Republican,0,"['Such, however, is the variety of soils, of climates, and of products within our extensive limits that the aggregate resources for subsistence are more than sufficient for the aggregate wants.']",Neutral
1817,James Monroe,Democratic-Republican,0,[],NA
1818,James Monroe,Democratic-Republican,0,[],NA
1819,James Monroe,Democratic-Republican,0,[],NA
1820,James Monroe,Democratic-Republican,1,"['In the progress of a nation inhabiting a territory of such vast extent and great variety of climate, every portion of which is engaged in foreign commerce and liable to be affected in some degree by the changes which occur in the condition and regulations of foreign countries, it would be strange if the produce of our soil and the industry and enterprise of our fellow citizens received at all times and in every quarter an uniform and equal encouragement.']",Neutral
1821,James Monroe,Democratic-Republican,0,[],NA
1822,James Monroe,Democratic-Republican,0,[],NA
1823,James Monroe,Democratic-Republican,1,"['And in reflecting with high satisfaction on the honorable manner in which they have sustained the reputation of their country and its Navy, the sentiment is alloyed only by a concern that in the fulfillment of that arduous service the diseases incident to the season and to the climate in which it was discharged have deprived the nation of many useful lives, and among them of several officers of great promise.']",Neutral
1824,James Monroe,Democratic-Republican,1,"['Experience has already shewn that the difference of climate and of industry, proceeding from that cause, inseparable from such vast domains, and which under other systems might have a repulsive tendency, can not fail to produce with us under wise regulations the opposite effect.']",Neutral
1825,John Quincy Adams,Democratic-Republican,0,[],NA
1826,John Quincy Adams,Democratic-Republican,0,[],NA
1827,John Quincy Adams,Democratic-Republican,0,[],NA
1828,John Quincy Adams,Democratic-Republican,0,[],NA
1829,Andrew Jackson,Democratic,0,[],NA
1830,Andrew Jackson,Democratic,2,"['I sincerely regret to inform you that our minister lately commissioned to that Court, on whose distinguished talents and great experience in public affairs I place great reliance, has been compelled by extreme indisposition to exercise a privilege which, in consideration of the extent to which his constitution had been impaired in the public service, was committed to his discretion-of leaving temporarily his post for the advantage of a more genial climate.', 'Those diversities arising from situation, climate, population, and pursuits are doubtless, as it is natural they should be, greatly exaggerated by jealousies and that spirit of rivalry so inseparable from neighboring communities.']",Neutral
1831,Andrew Jackson,Democratic,0,[],NA
1832,Andrew Jackson,Democratic,0,[],NA
1833,Andrew Jackson,Democratic,0,[],NA
1834,Andrew Jackson,Democratic,0,[],NA
1835,Andrew Jackson,Democratic,0,[],NA
1836,Andrew Jackson,Democratic,0,[],NA
1837,Martin Van Buren,Democratic,0,[],NA
1838,Martin Van Buren,Democratic,3,"['Though the anticipations of an abundant harvest have not everywhere been realized, yet on the whole the labors of the husbandman are rewarded with a bountiful return; industry prospers in its various channels of business and enterprise; general health again prevails through our vast diversity of climate; nothing threatens from abroad the continuance of external peace; nor has anything at home impaired the strength of those fraternal and domestic ties which constitute the only guaranty to the success and permanency of our happy Union, and which, formed in the hour of peril, have hitherto been honorably sustained through every vicissitude in our national affairs.', 'To the Cherokees, whose case has perhaps excited the greatest share of attention and sympathy, the United States have granted in fee, with a perpetual guaranty of exclusive and peaceable possession, 13,554,135 acres of land on the west side of the Mississippi, eligibly situated, in a healthy climate, and in all respects better suited to their condition than the country they have left, in exchange for only 9,492, 160 acres on the east side of the same river.', 'Experience has shown that but little is to be gained by the march of armies through a country so intersected with inaccessible swamps and marshes, and which, from the fatal character of the climate, must be abandoned at the end of the winter.']",Neutral
1839,Martin Van Buren,Democratic,1,"['Our surplus profits, the energy and industry of our population, and the wonderful advantages which Providence has bestowed upon our country in its climate, its various productions, indispensable to other nations, will in due time afford abundant means to perfect the most useful of those objects for which the States have been plunging themselves of late in embarrassment and debt, without imposing on ourselves or our children such fearful burdens.']",Neutral
1840,Martin Van Buren,Democratic,1,"['Experienced generals have had the command of the troops, officers and soldiers have alike distinguished themselves for their activity, patience, and enduring courage, the army has been constantly furnished with supplies of every description, and we must look for the causes which have so long procrastinated the issue of the contest in the vast extent of the theater of hostilities, the almost insurmountable obstacles presented by the nature of the country, the climate, and the wily character of the savages.']",Neutral
1841,John Tyler,Whig & Democratic,1,"['In despite of the sickness incident to the climate, they have penetrated the fastnesses of the Indians, broken up their encampments, and harassed them unceasingly.']",Neutral
1842,John Tyler,Whig & Democratic,1,"['At peace with all the world, the personal liberty of the citizen sacredly maintained and his rights secured under political institutions deriving all their authority from the direct sanction of the people, with a soil fertile almost beyond example and a country blessed with every diversity of climate and production, what remains to be done in order to advance the happiness and prosperity of such a people?']",Neutral
1843,John Tyler,Whig & Democratic,0,[],NA
1844,John Tyler,Whig & Democratic,0,[],NA
1845,James Polk,Democratic,0,[],NA
1846,James Polk,Democratic,0,[],NA
1847,James Polk,Democratic,0,[],NA
1848,James Polk,Democratic,4,"['The salubrity of climate, the fertility of soil, peculiarly adapted to the production of some of our most valuable staple commodities, and her commercial advantages must soon make her one of our most populous States.', 'Extending nearly ten degrees of latitude along the Pacific, and embracing the only safe and commodious harbors on that coast for many hundred miles, with a temperate climate and an extensive interior of fertile lands, it is scarcely possible to estimate its wealth until it shall be brought under the government of our laws and its resources fully developed.', 'Attracted by their great fertility, their mineral wealth, their commercial advantages, and the salubrity of the climate, emigrants from the older States in great numbers are already preparing to seek new homes in these inviting regions.', 'From the nature of the climate and productions in much the larger portion of it it is certain it could never exist, and in the remainder the probabilities are it would not.']",Neutral
1849,Zachary Taylor,Whig,0,[],NA
1850,Millard Fillmore,Whig,0,[],NA
1851,Millard Fillmore,Whig,2,"['An agricultural bureau, charged with the duty of collecting and disseminating correct information as to the best modes of cultivation and of the most effectual means of preserving and restoring the fertility of the soil and of procuring and distributing seeds and plants and other vegetable productions, with instructions in regard to the soil, climate, and treatment best adapted to their growth, could not fail to be, in the language of Washington in his last annual message to Congress, a ""very cheap instrument of immense national benefit.""', 'The expedition commanded by Lieutenant De Haven, dispatched in search of the British commander Sir John Franklin and his companions in the Arctic Seas, returned to New York in the month of October, after having undergone great peril and suffering from an unknown and dangerous navigation and the rigors of a northern climate, without any satisfactory information of the objects of their search, but with new contributions to science and navigation from the unfrequented polar regions.']",Neutral
1852,Millard Fillmore,Whig,0,[],NA
1853,Franklin Pierce,Democratic,1,"['While men inhabiting different parts of this vast continent can no more be expected to hold the same opinions or entertain the same sentiments than every variety of climate or soil can be expected to furnish the same agricultural products, they can unite in a common object and sustain common principles essential to the maintenance of that object.']",Neutral
1854,Franklin Pierce,Democratic,0,[],NA
1855,Franklin Pierce,Democratic,2,"['The several colonies differed in climate, in soil, in natural productions, in religion, in systems of education, in legislation, and in the forms of political administration, and they continued to differ in these respects when they voluntarily allied themselves as States to carry on the War of the Revolution.', 'A population of this class, held in subjection, existed in nearly all the States, but was more numerous and of more serious concernment in the South than in the North on account of natural differences of climate and production; and it was foreseen that, for the same reasons, while this population would diminish and sooner or later cease to exist in some States, it might increase in others.']",Neutral
1856,Franklin Pierce,Democratic,1,"['Is it the fact that the former enjoy, compared with the latter, such irresistibly superior vitality, independent of climate, soil, and all other accidental circumstances, as to be able to produce the supposed result in spite of the assumed moral and natural obstacles to its accomplishment and of the more numerous population of the Northern States?']",Neutral
1857,James Buchanan,Democratic,0,[],NA
1858,James Buchanan,Democratic,1,"['The truth is that this fine country, blessed with a productive soil and a benign climate, has been reduced by civil dissension to a condition of almost hopeless anarchy and imbecility.']",Neutral
1859,James Buchanan,Democratic,0,[],NA
1860,James Buchanan,Democratic,0,[],NA
1861,Abraham Lincoln,Republican,1,"['In such case I recommend that Congress provide for accepting such persons from such States, according to some mode of valuation, in lieu, pro tanto, of direct taxes, or upon some other plan to be agreed on with such States respectively; that such persons, on such acceptance by the General Government, be at once deemed free, and that in any event steps be taken for colonizing both classes (or the one first mentioned if the other shall not be brought into existence) at some place or places in a climate congenial to them.']",Neutral
1862,Abraham Lincoln,Republican,1,"['Its vast extent and its variety of climate and productions are of advantage in this age for one people, whatever they might have been in former ages.']",Neutral
1863,Abraham Lincoln,Republican,0,[],NA
1864,Abraham Lincoln,Republican,0,[],NA
1865,Andrew Johnson,National Union,2,"['The eight or nine States nearest the Gulf of Mexico have a soil of exuberant fertility, a climate friendly to long life, and can sustain a denser population than is found as yet in any part of our country.', 'Under any circumstances our great extent of territory and variety of climate, producing almost everything that is necessary for the wants and even the comforts of man, make us singularly independent of the varying policy of foreign powers and protect us against every temptation to ""entangling alliances,"" while at the present moment the reestablishment of harmony and the strength that comes from harmony will be our best security against ""nations who feel power and forget right.""']",Neutral
1866,Andrew Johnson,National Union,0,[],NA
1867,Andrew Johnson,National Union,0,[],NA
1868,Andrew Johnson,National Union,0,[],NA
1869,Ulysses S Grant,Republican,2,"[""We are blessed with peace at home, and are without entangling alliances abroad to forebode trouble; with a territory unsurpassed in fertility, of an area equal to the abundant support of 500,000,000 people, and abounding in every variety of useful mineral in quantity sufficient to supply the world for generations; with exuberant crops; with a variety of climate adapted to the production of every species of earth's riches and suited to the habits, tastes, and requirements of every living thing; with a population of 40,000,000 free people, all speaking one language; with facilities for every mortal to acquire an education; with institutions closing to none the avenues to fame or any blessing of fortune that may be coveted; with freedom of the pulpit, the press, and the school; with a revenue flowing into the National Treasury beyond the requirements of the Government."", 'In a country so diversified in climate and soil as ours, and with a population so largely dependent upon agriculture, the benefits that can be conferred by properly fostering this Bureau are incalculable.']",Neutral
1870,Ulysses S Grant,Republican,1,"['It possesses the richest soil, best and most capacious harbors, most salubrious climate, and the most valuable products of the forests, mine, and soil of any of the West India Islands.']",Neutral
1871,Ulysses S Grant,Republican,0,"['It is in the hands of an able head, with able assistants, all zealously devoted to introducing into the agricultural productions of the nation all useful products adapted to any of the various climates and soils of our vast territory, and to giving all useful information as to the method of cultivation, the plants, cereals, and other products adapted to particular localities.']",Neutral
1872,Ulysses S Grant,Republican,0,[],NA
1873,Ulysses S Grant,Republican,0,[],NA
1874,Ulysses S Grant,Republican,1,"['A third might be added: Our soil and climate are unequaled, within the limits of any contiguous territory under one nationality, for its variety of products to feed and clothe a people and in the amount of surplus to spare to feed less favored peoples.']",Positive
1875,Ulysses S Grant,Republican,1,"['The Bureau of Agriculture has accomplished much in disseminating useful knowledge to the agriculturist, and also in introducing new and useful productions adapted to our soil and climate, and is worthy of the continued encouragement of the Government.']",Neutral
1876,Ulysses S Grant,Republican,0,[],NA
1877,Rutherford B Hayes,Republican,0,[],NA
1878,Rutherford B Hayes,Republican,2,"['The great extent of our country, with its diversity of soil and climate, enables us to produce within our own borders and by our own labor not only the necessaries, but most of the luxuries, that are consumed in civilized countries.', 'Yet, notwithstanding our advantages of soil, climate, and inter-communication, it appears from the statistical statements in the report of the Commissioner of Agriculture that we import annually from foreign lands many millions of dollars worth of agricultural products which could be raised in our own country.']",Neutral
1879,Rutherford B Hayes,Republican,0,[],NA
1880,Rutherford B Hayes,Republican,0,[],NA
1881,Chester A Arthur,Republican,0,[],NA
1882,Chester A Arthur,Republican,0,[],NA
1883,Chester A Arthur,Republican,0,[],NA
1884,Chester A Arthur,Republican,0,[],NA
1885,Grover Cleveland,Democratic,1,"['These lands are included in the boundaries of 171 reservations of different dimensions, scattered in 21 States and Territories, presenting great variations in climate and in the kind and quality of their soils.']",Neutral
1886,Grover Cleveland,Democratic,0,[],NA
1887,Grover Cleveland,Democratic,0,[],NA
1888,Grover Cleveland,Democratic,0,[],NA
1889,Benjamin Harrison,Republican,0,[],NA
1890,Benjamin Harrison,Republican,0,[],NA
1891,Benjamin Harrison,Republican,0,[],NA
1892,Benjamin Harrison,Republican,0,[],NA
1893,Grover Cleveland,Democratic,0,[],NA
1894,Grover Cleveland,Democratic,0,[],NA
1895,Grover Cleveland,Democratic,0,[],NA
1896,Grover Cleveland,Democratic,0,[],NA
1897,William Mc Kinley,Republican,0,[],NA
1898,William Mc Kinley,Republican,1,['Nation-wide experiments have been conducted to ascertain the suitableness as to soil and climate and States for growing sugar beets.'],Neutral
1899,William Mc Kinley,Republican,0,[],NA
1900,William Mc Kinley,Republican,0,[],NA
1901,Theodore Roosevelt,Republican,0,[],NA
1902,Theodore Roosevelt,Republican,1,"['They warred under fearful difficulties of climate and surroundings; and under the strain of the terrible provocations which they continually received from their foes, occasional instances of cruel retaliation occurred.']",Neutral
1903,Theodore Roosevelt,Republican,0,[],NA
1904,Theodore Roosevelt,Republican,0,"['Fruits suitable to our soils and climates are being imported from all the countries of the Old World-the fig from Turkey, the almond from Spain, the date from Algeria, the mango from India.', 'It is a Central American insect that has become acclimated in Texas and has done great damage.']",Neutral
1905,Theodore Roosevelt,Republican,1,['Most of the cattle imported were unable to withstand the change of climate and the rigors of the voyage and died from other diseases than rinderpest.'],Neutral
1906,Theodore Roosevelt,Republican,0,[],NA
1907,Theodore Roosevelt,Republican,0,[],NA
1908,Theodore Roosevelt,Republican,1,['The climate has changed and is still changing.'],Neutral
1909,William H Taft,Republican,0,[],NA
1910,William H Taft,Republican,0,[],NA
1911,William H Taft,Republican,0,[],NA
1912,William H Taft,Republican,0,[],NA
1913,Woodrow Wilson,Democratic,0,[],NA
1914,Woodrow Wilson,Democratic,0,[],NA
1915,Woodrow Wilson,Democratic,0,[],NA
1916,Woodrow Wilson,Democratic,0,[],NA
1917,Woodrow Wilson,Democratic,0,[],NA
1918,Woodrow Wilson,Democratic,0,[],NA
1919,Woodrow Wilson,Democratic,0,[],NA
1920,Woodrow Wilson,Democratic,0,[],NA
1921,Warren G Harding,Republican,0,[],NA
1922,Warren G Harding,Republican,0,[],NA
1923,Calvin Coolidge,Republican,0,[],NA
1924,Calvin Coolidge,Republican,0,[],NA
1925,Calvin Coolidge,Republican,0,[],NA
1926,Calvin Coolidge,Republican,0,[],NA
1927,Calvin Coolidge,Republican,0,[],NA
1928,Calvin Coolidge,Republican,0,[],NA
1929,Herbert Hoover,Republican,0,[],NA
1930,Herbert Hoover,Republican,0,[],NA
1931,Herbert Hoover,Republican,0,[],NA
1932,Herbert Hoover,Republican,0,[],NA
1934,Franklin D Roosevelt,Democratic,0,[],NA
1935,Franklin D Roosevelt,Democratic,0,[],NA
1936,Franklin D Roosevelt,Democratic,0,[],NA
1937,Franklin D Roosevelt,Democratic,0,[],NA
1938,Franklin D Roosevelt,Democratic,1,"['Furthermore, we have a new moral climate in America.']",Neutral
1939,Franklin D Roosevelt,Democratic,0,[],NA
1940,Franklin D Roosevelt,Democratic,0,[],NA
1941,Franklin D Roosevelt,Democratic,0,[],NA
1942,Franklin D Roosevelt,Democratic,0,[],NA
1943,Franklin D Roosevelt,Democratic,0,[],NA
1944,Franklin D Roosevelt,Democratic,0,[],NA
1945,Franklin D Roosevelt,Democratic,0,[],NA
1946,Harry S Truman,Democratic,0,[],NA
1947,Harry S Truman,Democratic,0,[],NA
1948,Harry S Truman,Democratic,0,[],NA
1949,Harry S Truman,Democratic,0,[],NA
1950,Harry S Truman,Democratic,0,[],NA
1951,Harry S Truman,Democratic,0,[],NA
1952,Harry S Truman,Democratic,0,[],NA
1953,Harry S Truman,Democratic,1,"['It is a world of great natural diversity in geography and climate, in distribution of resources, in population, language, and living standards, in economic and cultural development.']",Neutral
1953,Harry S Truman,Democratic,1,"['This involves, as a serious and explicit purpose of our foreign policy, the encouragement of a hospitable climate for such investment in foreign nations.', 'This misunderstanding has provided a climate of opinion favoring the growth of governmental paternalism in labor relations.']",Neutral
1953,Dwight D Eisenhower,Republican,2,"['It is a world of great natural diversity in geography and climate, in distribution of resources, in population, language, and living standards, in economic and cultural development.']",Neutral
1953,Dwight D Eisenhower,Republican,2,"['This involves, as a serious and explicit purpose of our foreign policy, the encouragement of a hospitable climate for such investment in foreign nations.', 'This misunderstanding has provided a climate of opinion favoring the growth of governmental paternalism in labor relations.']",Neutral
1954,Dwight D Eisenhower,Republican,1,"['A government always ready, as this is, to take well-timed and vigorous action, and a business community willing, as ours is, to plan boldly and with confidence, can between them develop a climate assuring steady economic growth.']",Neutral
1955,Dwight D Eisenhower,Republican,1,"['In the past two years, many important governmental Actions helped our economy adjust to conditions of peace; these and other actions created a climate for renewed economic growth.']",Neutral
1956,Dwight D Eisenhower,Republican,0,[],NA
1957,Dwight D Eisenhower,Republican,1,"['By our proposed programs in the Middle East, we hope to assist in establishing a climate in which constructive and long-term solutions to basic problems of the area may be sought.']",Neutral
1958,Dwight D Eisenhower,Republican,0,[],NA
1959,Dwight D Eisenhower,Republican,0,[],NA
1960,Dwight D Eisenhower,Republican,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
1961,Dwight D Eisenhower,Republican,0,[],NA
1961,Dwight D Eisenhower,Republican,0,[],NA
1962,John F Kennedy,Democratic,1,['But we mean to maintain both stability and growth in a climate of freedom.'],Neutral
1963,John F Kennedy,Democratic,0,[],NA
1964,Lyndon B Johnson,Democratic,0,[],NA
1965,Lyndon B Johnson,Democratic,0,[],NA
1966,Lyndon B Johnson,Democratic,0,[],NA
1967,Lyndon B Johnson,Democratic,0,[],NA
1968,Lyndon B Johnson,Democratic,0,[],NA
1969,Lyndon B Johnson,Democratic,0,[],NA
1970,Richard Nixon,Republican,1,"['We need a fresh climate in America, one in which a person can breathe freely and breathe in freedom.']",Neutral
1971,Richard Nixon,Republican,0,[],NA
1972,Richard Nixon,Republican,0,[],NA
1973,Richard Nixon,Republican,1,"['That lesson is that even potentially destructive forces can be converted into positive forces when we know how to channel them, and when we use common sense and common decency to create a climate of mutual respect and goodwill.']",Neutral
1974,Richard Nixon,Republican,0,[],NA
1975,Gerald R Ford,Republican,0,[],NA
1976,Gerald R Ford,Republican,0,[],NA
1977,Gerald R Ford,Republican,0,[],NA
1978,Jimmy Carter,Democratic,0,[],NA
1979,Jimmy Carter,Democratic,0,[],NA
1980,Jimmy Carter,Democratic,0,[],NA
1981,Jimmy Carter,Democratic,1,"['Because this sector of the economy is the very lifeblood of our National economy, we have done much together to improve the competitive climate for smaller firms.']",Neutral
1982,Ronald Reagan,Republican,1,"[""In the face of a climate of falsehood and misinformation, we've promised the world a season of truth-the truth of our great civilized ideas: individual liberty, representative government, the rule of law under God.""]",Neutral
1983,Ronald Reagan,Republican,0,[],NA
1984,Ronald Reagan,Republican,0,[],NA
1985,Ronald Reagan,Republican,0,[],NA
1986,Ronald Reagan,Republican,0,[],NA
1987,Ronald Reagan,Republican,0,[],NA
1988,Ronald Reagan,Republican,0,[],NA
1989,George Bush,Republican,0,[],NA
1990,George Bush,Republican,0,[],NA
1991,George Bush,Republican,0,[],NA
1992,George Bush,Republican,0,[],NA
1993,William J Clinton,Democratic,0,[],NA
1994,William J Clinton,Democratic,0,[],NA
1995,William J Clinton,Democratic,0,[],NA
1996,William J Clinton,Democratic,0,[],NA
1997,William J Clinton,Democratic,1,"['We must also protect our global environment, working to ban the worst toxic chemicals and to reduce the greenhouse gases that challenge our health even as they change our climate.']",Neutral
1998,William J Clinton,Democratic,2,"['Our overriding environmental challenge tonight is the worldwide problem of climate change, global warming, the gathering crisis that requires worldwide action.', ""The vast majority of scientists have concluded unequivocally that if we don't reduce the emission of greenhouse gases, at some point in the next century, we'll disrupt our climate and put our children and grandchildren at risk.""]",Negative
1999,William J Clinton,Democratic,0,[],NA
2000,William J Clinton,Democratic,1,"['We will reverse the course of climate change and leave a safer, cleaner planet.']",Neutral
2001,George W Bush,Republican,0,[],NA
2002,George W Bush,Republican,0,[],NA
2003,George W Bush,Republican,0,[],NA
2004,George W Bush,Republican,0,[],NA
2005,George W Bush,Republican,0,[],NA
2006,George W Bush,Republican,0,[],NA
2007,George W Bush,Republican,1,"['And these technologies will help us be better stewards of the environment, and they will help us to confront the serious challenge of global climate change.']",Positive
2008,George W Bush,Republican,1,['The United States is committed to strengthening our energy security and confronting global climate change.'],Positive
2009,Barack Obama,Democratic,1,"['But to truly transform our economy, to protect our security, and save our planet from the ravages of climate change, we need to ultimately make clean, renewable energy the profitable kind of energy.']",Neutral
2010,Barack Obama,Democratic,3,"['And yes, it means passing a comprehensive energy and climate bill with incentives that will finally make clean energy the profitable kind of energy in America.', 'I know that there are those who disagree with the overwhelming scientific evidence on climate change.', 'We have gone from a bystander to a leader in the fight against climate change.']",Positive
2011,Barack Obama,Democratic,0,[],NA
2012,Barack Obama,Democratic,1,['The differences in this Chamber may be too deep right now to pass a comprehensive plan to fight climate change.'],Negative
2013,Barack Obama,Democratic,3,"['But for the sake of our children and our future, we must do more to combat climate change.', 'I urge this Congress to get together, pursue a bipartisan, market-based solution to climate change, like the one John McCain and Joe Lieberman worked on together a few years ago.', 'I will direct my Cabinet to come up with executive actions we can take, now and in the future, to reduce pollution, prepare our communities for the consequences of climate change, and speed the transition to more sustainable sources of energy.']",Neutral
2014,Barack Obama,Democratic,2,"[""If extracted safely, it's the bridge fuel that can power our economy with less of the carbon pollution that causes climate change."", 'But we have to act with more urgency, because a changing climate is already harming Western communities struggling with drought and coastal cities dealing with floods.']",Neutral
2015,Barack Obama,Democratic,4,"['And no challenge -- no challenge -- poses a greater threat to future generations than climate change.', ""The best scientists in the world are all telling us that our activities are changing the climate, and if we do not act forcefully, we'll continue to see rising oceans, longer, hotter heat waves, dangerous droughts and floods, and massive disruptions that can trigger greater migration, conflict, and hunger around the globe."", 'The Pentagon says that climate change poses immediate risks to our national security.', ""That's why, over the past six years, we've done more than ever before to combat climate change, from the way we produce energy, to the way we use it.""]",Negative
2016,Barack Obama,Democratic,4,"['Second, how do we make technology work for us and not against us, especially when it comes to solving urgent challenges like climate change?', 'Look, if anybody still wants to dispute the science around climate change, have at it.', 'Now, climate change is just one of many issues where our security is linked to the rest of the world.', 'When we lead nearly 200 nations to the most ambitious agreement in history to fight climate change, yes, that helps vulnerable countries, but it also protects our kids.']",Neutral
2017,Donald J Trump,Republican,0,[],NA
2018,Donald J Trump,Republican,0,[],NA
2019,Donald J Trump,Republican,0,[],NA
2020,Donald J Trump,Republican,0,[],NA
2021,Joseph R Biden,Democratic,6,"['For too long, we’ve failed to use the most important word when it comes to meeting the climate crisis: “jobs.” Jobs.', 'For me, when I think “climate change,” I think “jobs.” The American Jobs Plan will put engineers and construction workers to work building more energy-efficient buildings and homes.', 'No one nation can deal with all the crises of our time—from terrorism, to nuclear proliferation, mass migration, cybersecurity, climate change, as well as experi-—what we’re experiencing now with pandemics.', 'Look, the climate crisis is not our fight alone; it’s a global fight.', 'I kept my commitment to convene a climate summit right here in America with all of the major economies of the world—China, Russia, India, the European Union—and I said I’d do it in my first 100 days.', 'We did it when we extended the New START Treaty on nuclear arms, and we’re working to do it on climate change.']",Neutral
2022,Joseph R Biden,Democratic,2,"[""And we'll do it to withstand the devastating effects of climate crisis and promote environmental justice."", ""And second, let's cut energy costs for families an average of $500 a year by combating climate change.""]",Neutral
2023,Joseph R Biden,Democratic,3,"['Look, the Inflation Reduction Act is also the most significant investment ever in climate change—ever.', ""The climate crisis doesn't care if you're in a red or a blue State."", 'America is rallying the world to meet those challenges, from climate to global health to food insecurity to terrorism to territorial aggression.']",Neutral