year,1994-Clinton,1995-Clinton,1996-Clinton,1997-Clinton,1998-Clinton,1999-Clinton,2000-Clinton,2001-Bush,2002-Bush,2003-Bush,2004-Bush,2005-Bush,2006-Bush,2007-Bush,2008-Bush,2009-Obama,2010-Obama,2011-Obama,2012-Obama,2013-Obama,2014-Obama,2015-Obama,2016-Obama,2017-Trump,2018-Trump,2019-Trump,2020-Trump,2021-Biden,2022-Biden,2023-Biden
1994-Clinton,1.0000002,0.9999875,0.9999887,0.99998224,0.9999881,0.9999861,0.9999925,0.9999953,0.99996126,0.99997103,0.9999892,0.9999817,0.9999692,0.9999813,0.99997413,0.9999961,0.9999921,0.9999852,0.9999839,0.9999856,0.9999857,0.9999812,0.9999818,0.9999716,0.999968,0.99993795,0.99995345,0.99998564,0.9999836,0.99998677
1995-Clinton,0.9999875,1.0000002,0.9999991,0.99999774,0.99999833,0.9999974,0.9999984,0.9999916,0.9999856,0.99998933,0.9999939,0.9999947,0.99999064,0.9999937,0.999994,0.9999955,0.9999988,0.99999905,0.99999833,0.9999984,0.9999987,0.9999984,0.9999982,0.99999,0.99999225,0.9999701,0.99997723,0.9999982,0.9999964,0.9999987
1996-Clinton,0.9999887,0.9999991,1.0000001,0.9999981,0.9999988,0.9999973,0.9999988,0.99999183,0.99998665,0.9999902,0.99999535,0.999995,0.9999913,0.99999505,0.999994,0.9999955,0.99999815,0.9999981,0.9999973,0.9999982,0.9999986,0.9999977,0.99999785,0.9999917,0.9999925,0.9999712,0.99997866,0.99999803,0.99999696,0.9999983
1997-Clinton,0.99998224,0.99999774,0.9999981,1,0.9999985,0.9999984,0.9999967,0.99998844,0.99999213,0.9999945,0.9999957,0.99999756,0.9999958,0.9999966,0.9999981,0.9999927,0.9999961,0.9999986,0.99999726,0.99999833,0.9999983,0.9999987,0.9999983,0.999995,0.9999956,0.9999791,0.9999844,0.9999974,0.9999975,0.9999975
1998-Clinton,0.9999881,0.99999833,0.9999988,0.9999985,1,0.99999887,0.9999989,0.99999225,0.9999885,0.99999326,0.99999726,0.99999624,0.99999315,0.99999607,0.9999958,0.99999607,0.99999857,0.99999857,0.99999833,0.9999989,0.99999887,0.99999785,0.999997,0.9999938,0.9999934,0.9999762,0.99998385,0.99999845,0.9999986,0.9999982
1999-Clinton,0.9999861,0.9999974,0.9999973,0.9999984,0.99999887,0.9999997,0.9999979,0.99999326,0.9999885,0.99999225,0.99999595,0.99999785,0.9999927,0.9999952,0.99999595,0.9999947,0.9999976,0.99999714,0.9999968,0.99999774,0.9999977,0.9999968,0.9999961,0.99999225,0.9999926,0.999975,0.9999819,0.9999968,0.999997,0.9999977
2000-Clinton,0.9999925,0.9999984,0.9999988,0.9999967,0.9999989,0.9999979,0.99999994,0.99999523,0.99998343,0.99998873,0.9999963,0.99999493,0.99998915,0.99999416,0.9999925,0.99999803,0.9999988,0.9999975,0.99999654,0.99999744,0.99999756,0.99999595,0.99999607,0.99998945,0.9999896,0.9999672,0.9999763,0.99999726,0.9999964,0.99999815
2001-Bush,0.9999953,0.9999916,0.99999183,0.99998844,0.99999225,0.99999326,0.99999523,0.99999994,0.9999698,0.9999772,0.99999166,0.99998957,0.9999766,0.99998504,0.9999818,0.9999973,0.9999954,0.99999034,0.99998885,0.9999903,0.9999894,0.99998605,0.99998695,0.99997646,0.99997467,0.999947,0.99995947,0.99998885,0.99998736,0.99999106
2002-Bush,0.99996126,0.9999856,0.99998665,0.99999213,0.9999885,0.9999885,0.99998343,0.9999698,1,0.9999978,0.99998957,0.99999297,0.99999887,0.9999954,0.99999624,0.99997604,0.99998283,0.99998873,0.9999887,0.9999906,0.9999909,0.99999255,0.9999917,0.99999785,0.9999965,0.99999255,0.9999941,0.99998903,0.9999924,0.99998766
2003-Bush,0.99997103,0.99998933,0.9999902,0.9999945,0.99999326,0.99999225,0.99998873,0.9999772,0.9999978,1.0000001,0.99999475,0.99999535,0.999999,0.9999984,0.9999977,0.99998355,0.9999882,0.99999213,0.999992,0.99999356,0.99999374,0.99999493,0.9999936,0.9999988,0.9999967,0.999991,0.9999945,0.9999929,0.99999595,0.9999916
2004-Bush,0.9999892,0.9999939,0.99999535,0.9999957,0.99999726,0.99999595,0.9999963,0.99999166,0.99998957,0.99999475,0.99999976,0.99999654,0.99999315,0.99999815,0.99999434,0.99999547,0.999996,0.99999505,0.99999464,0.99999684,0.9999966,0.9999951,0.9999948,0.9999943,0.9999909,0.9999755,0.9999844,0.9999957,0.9999971,0.99999535
2005-Bush,0.9999817,0.9999947,0.999995,0.99999756,0.99999624,0.99999785,0.99999493,0.99998957,0.99999297,0.99999535,0.99999654,0.9999997,0.9999959,0.99999744,0.9999969,0.9999912,0.9999939,0.9999954,0.999994,0.9999959,0.99999577,0.999996,0.99999636,0.99999416,0.9999931,0.99997807,0.9999837,0.9999947,0.99999577,0.99999547
2006-Bush,0.9999692,0.99999064,0.9999913,0.9999958,0.99999315,0.9999927,0.99998915,0.9999766,0.99999887,0.999999,0.99999315,0.9999959,1,0.99999744,0.9999987,0.9999828,0.9999882,0.99999297,0.9999927,0.9999938,0.9999946,0.9999958,0.9999952,0.99999875,0.99999803,0.9999905,0.99999344,0.999993,0.9999957,0.9999926
2007-Bush,0.9999813,0.9999937,0.99999505,0.9999966,0.99999607,0.9999952,0.99999416,0.99998504,0.9999954,0.9999984,0.99999815,0.99999744,0.99999744,1.0000001,0.99999714,0.99999017,0.9999932,0.99999493,0.9999943,0.9999966,0.9999967,0.99999636,0.9999962,0.9999976,0.99999523,0.9999842,0.9999899,0.99999577,0.9999978,0.9999952
2008-Bush,0.99997413,0.999994,0.999994,0.9999981,0.9999958,0.99999595,0.9999925,0.9999818,0.99999624,0.9999977,0.99999434,0.9999969,0.9999987,0.99999714,0.99999994,0.99998724,0.99999225,0.9999959,0.9999953,0.99999624,0.99999654,0.9999974,0.9999963,0.999997,0.9999975,0.99998647,0.9999902,0.9999953,0.9999968,0.9999951
2009-Obama,0.9999961,0.9999955,0.9999955,0.9999927,0.99999607,0.9999947,0.99999803,0.9999973,0.99997604,0.99998355,0.99999547,0.9999912,0.9999828,0.99999017,0.99998724,0.99999994,0.99999845,0.99999523,0.9999943,0.99999505,0.9999946,0.9999922,0.9999919,0.9999838,0.999982,0.9999571,0.999969,0.99999434,0.9999926,0.9999944
2010-Obama,0.9999921,0.9999988,0.99999815,0.9999961,0.99999857,0.9999976,0.9999988,0.9999954,0.99998283,0.9999882,0.999996,0.9999939,0.9999882,0.9999932,0.99999225,0.99999845,0.99999994,0.9999983,0.9999981,0.99999785,0.9999979,0.99999624,0.9999955,0.9999888,0.9999891,0.9999671,0.9999763,0.99999756,0.99999624,0.9999979
2011-Obama,0.9999852,0.99999905,0.9999981,0.9999986,0.99999857,0.99999714,0.9999975,0.99999034,0.99998873,0.99999213,0.99999505,0.9999954,0.99999297,0.99999493,0.9999959,0.99999523,0.9999983,1,0.9999994,0.9999992,0.99999946,0.9999991,0.9999987,0.9999926,0.9999937,0.99997485,0.9999814,0.9999981,0.9999972,0.9999983
2012-Obama,0.9999839,0.99999833,0.9999973,0.99999726,0.99999833,0.9999968,0.99999654,0.99998885,0.9999887,0.999992,0.99999464,0.999994,0.9999927,0.9999943,0.9999953,0.9999943,0.9999981,0.9999994,1.0000004,0.9999996,0.99999934,0.99999917,0.99999774,0.9999928,0.99999404,0.9999763,0.9999831,0.9999983,0.9999976,0.9999981
2013-Obama,0.9999856,0.9999984,0.9999982,0.99999833,0.9999989,0.99999774,0.99999744,0.9999903,0.9999906,0.99999356,0.99999684,0.9999959,0.9999938,0.9999966,0.99999624,0.99999505,0.99999785,0.9999992,0.9999996,0.9999999,0.99999964,0.9999991,0.9999982,0.99999446,0.99999464,0.9999781,0.9999848,0.99999845,0.9999986,0.9999983
2014-Obama,0.9999857,0.9999987,0.9999986,0.9999983,0.99999887,0.9999977,0.99999756,0.9999894,0.9999909,0.99999374,0.9999966,0.99999577,0.9999946,0.9999967,0.99999654,0.9999946,0.9999979,0.99999946,0.99999934,0.99999964,1.0000001,0.9999992,0.999999,0.99999505,0.99999535,0.9999783,0.999985,0.99999887,0.9999986,0.99999875
2015-Obama,0.9999812,0.9999984,0.9999977,0.9999987,0.99999785,0.9999968,0.99999595,0.99998605,0.99999255,0.99999493,0.9999951,0.999996,0.9999958,0.99999636,0.9999974,0.9999922,0.99999624,0.9999991,0.99999917,0.9999991,0.9999992,0.99999994,0.9999991,0.9999958,0.9999967,0.99998087,0.99998647,0.99999845,0.99999833,0.9999984
2016-Obama,0.9999818,0.9999982,0.99999785,0.9999983,0.999997,0.9999961,0.99999607,0.99998695,0.9999917,0.9999936,0.9999948,0.99999636,0.9999952,0.9999962,0.9999963,0.9999919,0.9999955,0.9999987,0.99999774,0.9999982,0.999999,0.9999991,0.9999998,0.9999945,0.9999957,0.9999777,0.99998325,0.99999785,0.99999744,0.9999983
2017-Trump,0.9999716,0.99999,0.9999917,0.999995,0.9999938,0.99999225,0.99998945,0.99997646,0.99999785,0.9999988,0.9999943,0.99999416,0.99999875,0.9999976,0.999997,0.9999838,0.9999888,0.9999926,0.9999928,0.99999446,0.99999505,0.9999958,0.9999945,1,0.999998,0.99999195,0.9999959,0.99999386,0.99999684,0.9999925
2018-Trump,0.999968,0.99999225,0.9999925,0.9999956,0.9999934,0.9999926,0.9999896,0.99997467,0.9999965,0.9999967,0.9999909,0.9999931,0.99999803,0.99999523,0.9999975,0.999982,0.9999891,0.9999937,0.99999404,0.99999464,0.99999535,0.9999967,0.9999957,0.999998,1,0.99999094,0.999993,0.9999953,0.9999968,0.999994
2019-Trump,0.99993795,0.9999701,0.9999712,0.9999791,0.9999762,0.999975,0.9999672,0.999947,0.99999255,0.999991,0.9999755,0.99997807,0.9999905,0.9999842,0.99998647,0.9999571,0.9999671,0.99997485,0.9999763,0.9999781,0.9999783,0.99998087,0.9999777,0.99999195,0.99999094,1,0.9999979,0.99997747,0.99998313,0.9999746
2020-Trump,0.99995345,0.99997723,0.99997866,0.9999844,0.99998385,0.9999819,0.9999763,0.99995947,0.9999941,0.9999945,0.9999844,0.9999837,0.99999344,0.9999899,0.9999902,0.999969,0.9999763,0.9999814,0.9999831,0.9999848,0.999985,0.99998647,0.99998325,0.9999959,0.999993,0.9999979,0.99999994,0.9999841,0.99998945,0.999981
2021-Biden,0.99998564,0.9999982,0.99999803,0.9999974,0.99999845,0.9999968,0.99999726,0.99998885,0.99998903,0.9999929,0.9999957,0.9999947,0.999993,0.99999577,0.9999953,0.99999434,0.99999756,0.9999981,0.9999983,0.99999845,0.99999887,0.99999845,0.99999785,0.99999386,0.9999953,0.99997747,0.9999841,0.9999998,0.99999917,0.99999917
2022-Biden,0.9999836,0.9999964,0.99999696,0.9999975,0.9999986,0.999997,0.9999964,0.99998736,0.9999924,0.99999595,0.9999971,0.99999577,0.9999957,0.9999978,0.9999968,0.9999926,0.99999624,0.9999972,0.9999976,0.9999986,0.9999986,0.99999833,0.99999744,0.99999684,0.9999968,0.99998313,0.99998945,0.99999917,1,0.9999981
2023-Biden,0.99998677,0.9999987,0.9999983,0.9999975,0.9999982,0.9999977,0.99999815,0.99999106,0.99998766,0.9999916,0.99999535,0.99999547,0.9999926,0.9999952,0.9999951,0.9999944,0.9999979,0.9999983,0.9999981,0.9999983,0.99999875,0.9999984,0.9999983,0.9999925,0.999994,0.9999746,0.999981,0.99999917,0.9999981,0.99999976