Country,Country/State,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total_mentions
USA,Country,3,16,4,23,15,5,16,16,16,8,7,5,2,6,2,3,10,3,9,10,12,14,7,15,4,11,13,24,22,30,15,34,23,32,30,27,48,31,28,41,64,24,28,46,51,35,43,50,68,34,27,32,30,36,50,83,104,67,88,28,30,55,30,51,49,100,84,47,79,43,80,19,37,35,22,86,55,37,46,40,66,37,28,52,32,60,47,28,29,46,27,20,14,17,29,71,39,19,48,44,71,49,42,42,57,42,48,95,82,59,36,10,70,43,58,45,50,30,50,44,70,92,10,14,17,1,2,2,19,10,8,9,9,3,18,11,16,15,19,9,6,4,2,7,10,3,11,3,13,9,5,7,4,6,59,10,12,6,6,3,3,26,16,15,19,10,7,13,17,21,14,6,5,16,17,11,20,16,35,40,26,5,47,13,27,19,11,14,31,88,26,28,33,11,30,26,32,31,25,25,14,17,14,30,37,47,45,45,37,22,39,30,39,22,39,34,36,20,25,27,39,33,49,38,30,39,34,40,54,55,48,37,6959
MEXICO,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,3,3,1,2,0,1,1,7,5,3,5,1,0,7,17,22,35,148,89,29,9,4,14,6,3,6,4,4,0,14,25,12,0,1,0,1,0,10,1,5,0,0,2,3,2,3,4,7,7,3,3,3,3,4,7,2,9,12,2,0,2,4,1,2,2,4,0,0,5,7,4,5,1,5,0,1,4,9,0,0,2,17,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,699
GREAT BRITAIN,Country,0,0,0,0,0,1,5,2,1,1,1,0,0,0,0,0,0,0,2,0,2,1,5,6,2,1,2,2,1,2,2,2,4,3,1,3,8,6,11,2,15,5,1,1,1,1,0,1,2,4,2,8,6,7,3,13,6,3,12,3,2,0,4,2,5,27,7,12,7,4,5,0,3,2,4,4,4,4,8,7,7,3,11,4,1,4,2,2,0,2,3,1,1,1,1,6,2,2,4,4,3,3,9,8,11,5,1,5,8,5,1,1,5,1,0,2,2,0,8,7,9,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460
SPAIN,Country,0,0,0,0,0,0,2,3,3,0,0,0,0,0,2,2,4,1,1,0,1,0,0,0,0,0,0,3,21,25,6,8,5,9,5,1,3,1,1,4,2,5,3,9,2,6,2,3,0,1,0,2,1,0,2,5,16,1,0,1,1,3,1,4,4,9,1,3,11,3,8,0,2,1,1,1,0,4,4,11,9,4,4,4,6,9,1,0,1,1,3,1,2,1,0,7,3,0,2,2,5,2,5,3,3,28,31,33,8,11,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444
FRANCE,Country,0,0,0,1,0,0,1,5,10,3,1,0,1,1,1,1,2,0,5,2,5,5,1,1,0,0,0,0,2,1,4,7,4,4,6,5,3,7,6,2,4,3,0,9,32,30,1,2,2,1,0,0,1,1,1,2,4,1,2,2,1,5,6,1,7,3,13,5,5,3,8,0,2,2,0,2,8,2,4,3,8,4,1,2,1,3,0,1,2,4,4,4,5,3,3,4,2,3,3,0,2,2,4,4,7,0,3,8,9,9,0,0,2,1,0,1,1,0,2,1,3,2,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,12,2,1,0,0,0,1,1,2,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,440
CHINA,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,1,1,0,7,2,0,0,2,1,2,0,0,0,6,4,8,4,2,1,1,2,1,0,0,0,3,5,5,2,1,2,0,0,0,0,2,3,3,3,5,3,7,1,1,2,3,6,3,1,5,7,0,0,5,5,35,16,3,2,5,11,0,7,13,8,20,12,13,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,2,0,2,0,0,0,0,0,0,0,0,0,5,5,1,6,3,0,1,0,0,2,0,6,2,2,1,0,0,0,0,3,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,1,5,9,0,1,1,0,0,1,1,1,1,2,4,4,1,1,3,0,1,3,4,5,4,2,6,422
CUBA,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,0,0,0,0,1,4,4,2,2,0,12,6,7,0,3,1,1,13,2,3,0,0,1,0,0,0,0,2,7,7,4,5,9,1,11,5,2,1,0,0,0,0,3,2,1,2,0,1,1,0,2,2,1,3,12,27,44,22,14,7,6,0,5,2,11,3,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,345
USSR/RUSSIA,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,2,2,2,2,1,0,3,2,1,0,1,1,0,1,1,1,3,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,3,1,1,2,2,0,1,1,1,1,1,3,1,1,0,1,2,2,2,0,1,1,0,1,1,1,3,2,1,3,0,1,1,1,3,0,2,3,6,1,1,1,4,2,0,0,4,3,3,3,1,0,3,0,5,2,0,0,0,0,1,0,1,0,5,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,4,5,6,4,0,0,0,10,3,16,1,0,0,0,2,0,3,8,1,1,0,2,1,9,3,3,1,0,2,0,3,2,0,2,2,6,15,19,1,2,3,1,0,4,0,0,1,2,2,0,5,0,1,2,1,2,4,0,1,2,0,0,0,2,0,0,1,2,1,1,1,1,2,0,1,2,0,3,9,0,344
WASHINGTON,State,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,2,2,6,0,1,0,0,3,2,0,1,3,3,3,2,5,2,2,4,7,1,1,4,1,1,2,2,3,0,0,0,0,5,1,0,0,4,4,3,3,4,2,1,2,2,4,2,3,0,2,2,1,3,1,1,6,2,1,2,1,2,0,3,2,5,1,5,0,5,5,13,2,4,2,2,0,1,6,14,0,0,0,0,0,1,1,0,1,2,1,0,0,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,1,1,0,1,1,0,2,6,0,0,2,1,0,1,2,0,0,3,3,1,2,0,1,0,1,0,0,2,0,1,1,4,3,1,0,0,0,2,0,0,0,0,2,1,3,1,8,1,5,2,2,0,2,0,3,0,1,0,0,0,309
TEXAS,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,2,8,24,35,74,2,15,0,4,7,3,1,0,2,1,1,1,0,0,2,0,0,0,0,0,0,2,4,2,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,1,0,1,0,1,1,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,2,0,0,241
JAPAN,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,1,1,2,6,3,2,5,0,0,0,2,3,4,5,2,4,5,4,5,3,1,1,1,3,0,4,6,2,3,3,5,4,0,0,0,0,2,14,4,5,6,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,7,3,8,12,0,0,0,0,1,1,5,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,1,1,1,1,0,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,233
GERMANY,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,5,2,0,0,1,3,0,1,4,1,0,2,3,7,1,1,5,3,4,4,4,3,4,1,0,6,8,5,2,0,2,1,1,1,9,1,3,1,2,1,0,0,0,0,11,0,0,1,0,0,2,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,4,6,3,8,11,0,1,0,0,1,0,4,2,1,1,0,0,3,0,1,3,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0,225
SOUTH KOREA,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,10,0,4,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,12,20,28,12,0,2,0,0,0,0,2,0,1,2,0,4,6,2,0,2,0,0,0,0,1,0,2,0,0,2,6,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,3,4,0,0,0,1,1,0,0,1,1,2,1,5,3,0,0,0,0,0,2,0,2,0,2,0,181
UK,Country,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,3,1,2,1,2,0,0,0,2,1,3,0,0,0,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,1,2,4,0,2,2,2,0,2,0,1,1,1,0,4,4,3,3,2,2,4,0,0,2,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,1,4,3,6,2,1,2,0,2,0,2,1,0,0,3,0,2,1,1,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,3,1,5,13,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166
IRAQ,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,1,0,1,14,19,15,6,26,24,4,3,2,2,0,3,2,2,0,1,2,5,0,6,1,154
CALIFORNIA,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,16,7,13,5,2,1,0,0,5,4,2,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,1,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,1,3,0,0,0,144
PHILIPPINES,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,16,16,4,3,5,10,4,4,3,3,1,1,4,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,3,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135
NICARAGUA,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,2,5,4,1,13,4,2,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,2,3,8,8,0,0,3,7,3,0,0,1,0,0,0,0,0,2,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129
NEW YORK,State,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,2,0,5,0,1,0,0,0,0,1,4,8,2,1,3,0,1,1,0,0,0,2,0,0,0,4,0,1,0,0,0,0,1,0,1,0,2,0,1,0,1,0,3,2,1,0,0,3,0,2,1,3,3,2,3,1,1,0,0,0,0,0,0,0,0,3,2,1,5,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,2,0,0,1,123
AFGHANISTAN,Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,3,2,4,4,2,3,1,3,4,6,3,1,0,1,3,3,6,3,0,107
THE DISTRICT OF COLUMBIA,State,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,2,0,1,0,0,0,1,1,0,0,0,1,0,1,2,2,1,0,1,0,1,1,0,1,1,0,1,1,2,0,0,0,0,1,0,1,1,1,0,0,1,4,0,0,0,0,1,1,1,0,3,1,2,1,0,2,0,0,0,0,0,3,2,3,3,6,2,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
CANADA,Country,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,7,11,1,0,0,0,1,1,2,0,0,0,0,0,1,1,3,0,3,8,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,99
ALASKA,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,1,5,0,1,1,0,2,1,1,4,1,1,3,0,5,7,10,6,4,5,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
